Number of training samples for the male class: 720
Number of training samples for the female class: 1680
Number of features: 12
Data for prior 0.5 cfp: 1 cfn: 1
Lambda: 15264.179671752365 , cost: 0.7460595446584939
Lambda: 24420.53094548655 , cost: 0.7460595446584939
Lambda: 39069.39937054621 , cost: 0.7460595446584939
Lambda: 62505.51925273976 , cost: 0.7460595446584939
Lambda: 100000.0 , cost: 0.7460595446584939
Data for prior 0.9 cfp: 1 cfn: 1
Lambda: 1e-05 , cost: 0.665873859543129
Lambda: 1.5998587196060572e-05 , cost: 0.665873859543129
Lambda: 2.559547922699533e-05 , cost: 0.665873859543129
Lambda: 4.094915062380427e-05 , cost: 0.665873859543129
Lambda: 6.55128556859551e-05 , cost: 0.665873859543129
Lambda: 0.00010481131341546853 , cost: 0.665873859543129
Lambda: 0.00016768329368110083 , cost: 0.665873859543129
Lambda: 0.0002682695795279727 , cost: 0.665873859543129
Lambda: 0.00042919342601287783 , cost: 0.665873859543129
Lambda: 0.0006866488450042998 , cost: 0.665873859543129
Lambda: 0.0010985411419875584 , cost: 0.665873859543129
Lambda: 0.001757510624854793 , cost: 0.6670363034284448
Lambda: 0.002811768697974231 , cost: 0.6679922605709742
Lambda: 0.004498432668969444 , cost: 0.6723590727980484
Lambda: 0.0071968567300115215 , cost: 0.6731085431977913
Lambda: 0.011513953993264481 , cost: 0.6660803462859154
Lambda: 0.018420699693267165 , cost: 0.6660803462859154
Lambda: 0.029470517025518096 , cost: 0.6590521493740393
Lambda: 0.04714866363457394 , cost: 0.6634189616011136
Lambda: 0.07543120063354623 , cost: 0.6626694912013706
Lambda: 0.1206792640639329 , cost: 0.6670363034284448
Lambda: 0.19306977288832497 , cost: 0.7012213308452957
Lambda: 0.30888435964774846 , cost: 0.6842970655939552
Lambda: 0.49417133613238384 , cost: 0.704425699187054
Lambda: 0.7906043210907702 , cost: 0.6983534594177074
Lambda: 1.2648552168552958 , cost: 0.7114538960989302
Lambda: 2.0235896477251556 , cost: 0.7393601970036479
Lambda: 3.2374575428176464 , cost: 0.7480938214577965
Lambda: 5.1794746792312125 , cost: 0.7621502152815487
Lambda: 8.286427728546842 , cost: 0.7665170275086229
Lambda: 13.257113655901108 , cost: 0.7735452244204988
Lambda: 21.209508879201927 , cost: 0.7735452244204988
Lambda: 33.9322177189533 , cost: 0.7691784121934246
Lambda: 54.286754393238596 , cost: 0.7691784121934246
Lambda: 86.85113737513521 , cost: 0.7691784121934246
Lambda: 138.9495494373139 , cost: 0.7691784121934246
Lambda: 222.29964825261956 , cost: 0.7691784121934246
Lambda: 355.64803062231283 , cost: 0.7735452244204988
Lambda: 568.9866029018305 , cost: 0.7735452244204988
Lambda: 910.2981779915227 , cost: 0.7735452244204988
Lambda: 1456.3484775012444 , cost: 0.7735452244204988
Lambda: 2329.951810515372 , cost: 0.7735452244204988
Lambda: 3727.593720314938 , cost: 0.7735452244204988
Lambda: 5963.623316594637 , cost: 0.7735452244204988
Lambda: 9540.954763499964 , cost: 0.7735452244204988
Lambda: 15264.179671752365 , cost: 0.7735452244204988
Lambda: 24420.53094548655 , cost: 0.7735452244204988
Lambda: 39069.39937054621 , cost: 0.7718397968782265
Lambda: 62505.51925273976 , cost: 0.7718397968782265
Lambda: 100000.0 , cost: 0.7718397968782265


Data for prior 0.5 cfp: 1 cfn: 1
Lambda: 1e-05 , cost: 0.14963405960583975
